Soil_color,Nitrogen,Phosphorus,Potassium,Rainfall,Temperature,Crop,Fertilizer
Black,75,50,100,1000,20,Sugarcane,Urea
Black,80,50,100,1000,20,Sugarcane,Urea
Black,85,50,100,1000,20,Sugarcane,Urea
Black,90,50,100,1000,20,Sugarcane,Urea
Black,95,50,100,1000,20,Sugarcane,Urea
Black,100,50,100,1000,20,Sugarcane,Urea
Black,75,55,105,1100,25,Sugarcane,Urea
Black,80,55,105,1100,25,Sugarcane,Urea
Black,85,55,105,1100,25,Sugarcane,Urea
Black,90,55,105,1100,25,Sugarcane,Urea
Black,95,55,105,1100,25,Sugarcane,Urea
Black,100,55,105,1100,25,Sugarcane,Urea
Black,75,60,110,1200,30,Sugarcane,Urea
Black,80,60,110,1200,30,Sugarcane,Urea
Black,85,60,110,1200,30,Sugarcane,Urea
Black,90,60,110,1200,30,Sugarcane,Urea
Black,95,60,110,1200,30,Sugarcane,Urea
Black,100,60,110,1200,30,Sugarcane,Urea
Black,75,50,115,1300,35,Sugarcane,Urea
Black,80,50,115,1300,35,Sugarcane,Urea
Black,85,50,115,1300,35,Sugarcane,Urea
Black,90,50,115,1300,35,Sugarcane,Urea
Black,95,50,115,1300,35,Sugarcane,Urea
Black,100,50,115,1300,35,Sugarcane,Urea
Black,75,55,100,1400,20,Sugarcane,DAP
Black,80,55,100,1400,20,Sugarcane,DAP
Black,85,55,100,1400,20,Sugarcane,DAP
Black,90,55,100,1400,20,Sugarcane,DAP
Black,95,55,100,1400,20,Sugarcane,DAP
Black,100,55,100,1400,20,Sugarcane,DAP
Black,75,60,105,1500,25,Sugarcane,DAP
Black,80,60,105,1500,25,Sugarcane,DAP
Black,85,60,105,1500,25,Sugarcane,DAP
Black,90,60,105,1500,25,Sugarcane,DAP
Black,95,60,105,1500,25,Sugarcane,DAP
Black,100,60,105,1500,25,Sugarcane,DAP
Black,75,50,110,1000,30,Sugarcane,DAP
Black,80,50,110,1000,30,Sugarcane,DAP
Black,85,50,110,1000,30,Sugarcane,DAP
Black,90,50,110,1000,30,Sugarcane,DAP
Black,95,50,110,1000,30,Sugarcane,DAP
Black,100,50,110,1000,30,Sugarcane,DAP
Black,75,55,115,1100,35,Sugarcane,DAP
Black,80,55,115,1100,35,Sugarcane,DAP
Black,85,55,115,1100,35,Sugarcane,DAP
Black,90,55,115,1100,35,Sugarcane,DAP
Black,95,55,115,1100,35,Sugarcane,DAP
Black,100,55,115,1100,35,Sugarcane,DAP
Black,75,60,100,1200,20,Sugarcane,MOP
Black,80,60,100,1200,20,Sugarcane,MOP
Black,85,60,100,1200,20,Sugarcane,MOP
Black,90,60,100,1200,20,Sugarcane,MOP
Black,95,60,100,1200,20,Sugarcane,MOP
Black,100,60,100,1200,20,Sugarcane,MOP
Black,75,50,105,1300,25,Sugarcane,MOP
Black,80,50,105,1300,25,Sugarcane,MOP
Black,85,50,105,1300,25,Sugarcane,MOP
Black,90,50,105,1300,25,Sugarcane,MOP
Black,95,50,105,1300,25,Sugarcane,MOP
Black,100,50,105,1300,25,Sugarcane,MOP
Black,75,55,110,1400,30,Sugarcane,MOP
Black,80,55,110,1400,30,Sugarcane,MOP
Black,85,55,110,1400,30,Sugarcane,MOP
Black,90,55,110,1400,30,Sugarcane,MOP
Black,95,55,110,1400,30,Sugarcane,MOP
Black,100,55,110,1400,30,Sugarcane,MOP
Black,75,60,115,1500,35,Sugarcane,MOP
Black,80,60,115,1500,35,Sugarcane,MOP
Black,85,60,115,1500,35,Sugarcane,MOP
Black,90,60,115,1500,35,Sugarcane,MOP
Black,95,60,115,1500,35,Sugarcane,MOP
Black,100,60,115,1500,35,Sugarcane,MOP
Black,20,25,25,600,25,Jowar,10:26:26 NPK
Black,25,25,25,600,25,Jowar, NPK
Black,30,25,25,600,25,Jowar,10:26:26 NPK
Black,35,25,25,600,25,Jowar,10:26:26 NPK
Black,40,25,25,600,25,Jowar,10:26:26 NPK
Black,20,30,30,700,30,Jowar,10:26:26 NPK
Black,25,30,30,700,30,Jowar,10:26:26 NPK
Black,30,30,30,700,30,Jowar,10:26:26 NPK
Black,35,30,30,700,30,Jowar,10:26:26 NPK
Black,40,30,30,700,30,Jowar,10:26:26 NPK
Black,20,35,35,800,25,Jowar,10:26:26 NPK
Black,25,35,35,800,25,Jowar,10:26:26 NPK
Black,30,35,35,800,25,Jowar,10:26:26 NPK
Black,35,35,35,800,25,Jowar,10:26:26 NPK
Black,40,35,35,800,25,Jowar,10:26:26 NPK
Black,20,25,40,600,30,Jowar,10:26:26 NPK
Black,25,25,40,600,30,Jowar,10:26:26 NPK
Black,30,25,40,600,30,Jowar,10:26:26 NPK
Black,35,25,40,600,30,Jowar,10:26:26 NPK
Black,40,25,40,600,30,Jowar,10:26:26 NPK
Black,20,30,25,700,25,Jowar,Urea
Black,25,30,25,700,25,Jowar,Urea
Black,30,30,25,700,25,Jowar,Urea
Black,35,30,25,700,25,Jowar,Urea
Black,40,30,25,700,25,Jowar,Urea
Black,20,35,30,800,30,Jowar,Urea
Black,25,35,30,800,30,Jowar,Urea
Black,30,35,30,800,30,Jowar,Urea
Black,35,35,30,800,30,Jowar,Urea
Black,40,35,30,800,30,Jowar,Urea
Black,20,25,35,600,25,Jowar,Urea
Black,25,25,35,600,25,Jowar,Urea
Black,30,25,35,600,25,Jowar,Urea
Black,35,25,35,600,25,Jowar,Urea
Black,40,25,35,600,25,Jowar,Urea
Black,20,30,40,700,30,Jowar,Urea
Black,25,30,40,700,30,Jowar,Urea
Black,30,30,40,700,30,Jowar,Urea
Black,35,30,40,700,30,Jowar,Urea
Black,40,30,40,700,30,Jowar,Urea
Black,20,35,25,800,25,Jowar,SSP
Black,25,35,25,800,25,Jowar,SSP
Black,30,35,25,800,25,Jowar,SSP
Black,35,35,25,800,25,Jowar,SSP
Black,40,35,25,800,25,Jowar,SSP
Black,20,25,30,600,30,Jowar,SSP
Black,25,25,30,600,30,Jowar,SSP
Black,30,25,30,600,30,Jowar,SSP
Black,35,25,30,600,30,Jowar,SSP
Black,40,25,30,600,30,Jowar,SSP
Black,20,30,35,700,25,Jowar,SSP
Black,25,30,35,700,25,Jowar,SSP
Black,30,30,35,700,25,Jowar,SSP
Black,35,30,35,700,25,Jowar,SSP
Black,40,30,35,700,25,Jowar,SSP
Black,20,35,40,800,30,Jowar,SSP
Black,25,35,40,800,30,Jowar,SSP
Black,30,35,40,800,30,Jowar,SSP
Black,35,35,40,800,30,Jowar,SSP
Black,40,35,40,800,30,Jowar,SSP
Black,40,20,20,600,25,Jowar,10:26:26 NPK
Black,45,20,20,600,25,Jowar,10:26:26 NPK
Black,50,20,20,600,25,Jowar,10:26:26 NPK
Black,40,25,25,700,30,Jowar,10:26:26 NPK
Black,45,25,25,700,30,Jowar,10:26:26 NPK
Black,50,25,25,700,30,Jowar,10:26:26 NPK
Black,40,20,25,800,25,Jowar,10:26:26 NPK
